Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,GravAcc_X,GravAcc_Y,GravAcc_Z,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,Lat,Long,LocAccuracy,Course,Speed,Altitude
462463528.505649,-0.197525,-0.287292,-1.031631,-0.289272,0.339418,0.267161,-0.268981,-0.332939,-0.903771,0.091368,0.007423,-0.204582,0.429242,-0.155645,-0.119191,322.667633,323.764343,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.539006,-0.100052,-0.368134,-0.938019,-0.308983,0.347627,0.265565,-0.285900,-0.340668,-0.895660,0.131969,0.013993,-0.102418,0.225682,-0.697676,-0.212948,323.512543,324.609253,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.572343,-0.024536,-0.316376,-0.799255,-0.312837,0.374406,0.262208,-0.286439,-0.365719,-0.885552,0.262178,-0.035297,0.103875,1.227039,0.271741,-0.300356,322.991821,324.088531,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.605656,0.095413,-0.470657,-0.760849,-0.298866,0.417290,0.275511,-0.269171,-0.405285,-0.873665,0.216254,0.115444,0.039269,1.349482,0.578347,-0.012108,323.362549,324.459259,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.639042,0.104202,-0.420792,-0.592621,-0.282184,0.451321,0.274299,-0.250573,-0.436154,-0.864282,0.345986,-0.034503,0.103433,0.700648,0.160601,-0.413074,322.966858,324.063568,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.672517,0.026382,-0.468262,-0.738480,-0.285712,0.465696,0.278287,-0.251827,-0.449045,-0.857288,0.138073,0.085672,0.256778,0.283742,0.220259,0.276123,322.788818,323.885529,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.705692,0.014969,-0.568283,-0.688553,-0.265897,0.471839,0.295003,-0.234063,-0.454525,-0.859431,0.337166,-0.047107,0.174967,0.309255,1.113872,0.330855,321.052338,322.149048,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.739022,-0.124130,-0.483109,-0.720779,-0.230464,0.471945,0.299267,-0.203459,-0.454619,-0.867136,0.218428,-0.113664,0.178584,-0.216724,1.130702,0.055821,319.761627,320.858337,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.772359,-0.136612,-0.534805,-0.804657,-0.203969,0.459241,0.304974,-0.181571,-0.443268,-0.877807,-0.006067,0.022537,0.182678,-0.413672,0.815970,0.239237,318.738129,319.834839,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.805693,-0.178009,-0.480209,-0.797806,-0.170909,0.430935,0.276755,-0.154529,-0.417720,-0.895338,0.060596,-0.182103,0.130598,-0.934539,-0.068890,-0.644108,318.755798,319.852509,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.838968,-0.150497,-0.489380,-0.911743,-0.167526,0.398827,0.262196,-0.153657,-0.388338,-0.908616,0.003159,-0.101042,-0.003127,-0.951018,0.176774,-0.169650,319.498657,320.595367,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.872343,0.144760,-0.656647,-0.749344,-0.147185,0.375384,0.239310,-0.136442,-0.366630,-0.920308,0.311064,-0.357278,0.191395,-0.892914,0.273371,-0.635000,319.470673,320.567383,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
462463528.905691,0.126389,-0.458130,-0.942627,-0.144038,0.341171,0.231758,-0.135267,-0.334591,-0.932605,0.121565,-0.133991,-0.001874,-1.066209,-0.018966,0.302480,320.227173,321.323883,10.000000,28.709475,77.206364,10.000000,87.187500,0.670000,197.263184
