Timestamp,Accel_X,Accel_Y,Accel_Z,Roll,Pitch,Yaw,UserAcc_X,UserAcc_Y,UserAcc_Z,RotRate_X,RotRate_Y,RotRate_Z,MagHeading,TrueHeading,HeadingAccuracy,MagX,MagY,MagZ
461772064.839280,0.016556,-0.234924,-0.937317,-0.030293,0.204540,-1.801579,0.068705,-0.008248,0.068931,0.065374,-0.176856,0.549381,291.696167,292.790710,10.000000,27.060722,4.372223,-35.538982
461772064.872260,0.024094,-0.253891,-0.956757,-0.038043,0.208112,-1.773258,0.054196,-0.052939,0.026512,0.087529,0.001149,0.580629,291.561035,292.655579,10.000000,27.026314,3.789383,-35.837265
461772064.905576,0.048065,-0.216675,-1.026947,-0.037002,0.211876,-1.754062,0.067736,-0.043276,0.016230,0.018718,0.144029,0.616499,291.057190,292.151733,10.000000,26.682205,2.760841,-35.704693
461772064.938914,0.042679,-0.187393,-1.096268,-0.030111,0.210502,-1.734013,0.083976,0.014722,-0.083034,-0.076670,0.404656,0.619271,290.314514,291.409058,10.000000,26.716610,1.903717,-35.008705
461772064.972283,0.050644,-0.269226,-1.096512,-0.017258,0.208367,-1.714507,0.050041,0.007186,-0.155687,-0.011158,0.556158,0.549941,286.602203,287.696747,10.000000,27.267174,1.629440,-34.213287
461772065.005667,0.086014,-0.233704,-1.103439,-0.004915,0.207423,-1.699271,0.052860,-0.086816,-0.086587,-0.086115,0.408433,0.404437,285.916748,287.011292,10.000000,27.508049,1.389435,-34.246429
461772065.039039,0.129837,-0.045929,-1.314301,-0.000234,0.195785,-1.689625,0.115800,0.042605,-0.203233,-0.685479,-0.031551,0.240756,285.000946,286.095490,10.000000,27.886566,1.012306,-34.014435
461772065.072314,0.036911,0.108536,-1.463501,-0.002017,0.167523,-1.677926,0.109594,0.319939,-0.535577,-0.787561,0.210701,0.469368,284.768127,285.862671,10.000000,27.714516,0.909447,-33.915009
461772065.105049,0.127411,-0.058151,-0.932526,0.009189,0.159874,-1.657632,0.028053,0.212646,-0.369881,0.269927,0.532288,0.680431,284.781342,285.875885,10.000000,27.439236,0.909447,-33.384727
461772065.138400,0.156631,-0.170731,-0.791092,0.017291,0.187162,-1.633076,0.110423,0.127920,0.049864,1.057942,0.224970,0.790779,281.932587,283.027130,10.000000,27.852158,0.360878,-32.920734
461772065.172381,0.102890,-0.225815,-0.765640,0.012063,0.217201,-1.609640,0.125459,-0.009890,0.225106,0.719280,-0.195166,0.658174,280.354919,281.449463,10.000000,27.817749,-0.976250,-32.423599
461772065.205667,0.066910,-0.165115,-0.840408,-0.005435,0.235063,-1.581073,0.110556,0.031794,0.156293,0.150055,-0.093686,0.566190,280.463074,281.557617,10.000000,27.714516,-1.559090,-32.655594
461772065.239013,0.047165,-0.145767,-0.842407,-0.009148,0.235621,-1.562337,0.056060,0.087680,0.129922,-0.053479,0.032485,0.579238,279.384003,280.478546,10.000000,26.716614,-3.101921,-32.556168
461772065.272495,0.065140,-0.161392,-0.906326,-0.012403,0.230627,-1.541404,0.066609,0.069744,0.091292,-0.173032,0.078901,0.664484,277.620483,278.715027,10.000000,26.200455,-4.233315,-32.324165
461772065.305688,0.080582,-0.186569,-0.870117,-0.013491,0.228759,-1.529965,0.086870,0.054894,0.048994,-0.063190,0.097043,0.706624,277.158234,278.252777,10.000000,25.925171,-4.507591,-32.589306
461772065.339038,0.070282,-0.208542,-0.855347,-0.021240,0.234575,-1.494555,0.095776,0.036736,0.111493,0.179025,-0.084711,0.660266,274.961151,276.055695,10.000000,25.409016,-5.501854,-32.489876
461772065.371834,0.061890,-0.255051,-0.859711,-0.027245,0.237891,-1.476863,0.082932,-0.009464,0.103740,0.082079,-0.020504,0.427080,273.891144,274.985687,10.000000,25.168140,-5.878998,-32.721878
461772065.405717,0.072479,-0.273499,-0.836258,-0.029043,0.239926,-1.465009,0.094461,-0.032541,0.146697,0.019220,0.060257,0.331852,273.034302,274.128845,10.000000,25.030499,-6.358994,-32.390457
461772065.439062,0.073532,-0.273041,-0.884537,-0.029216,0.239218,-1.459614,0.100860,-0.036556,0.134851,-0.061886,0.069178,0.325044,272.582031,273.676575,10.000000,25.099319,-6.564705,-32.589314
461772065.472390,0.048492,-0.254959,-0.942459,-0.022937,0.238730,-1.445243,0.079322,-0.038128,0.056955,-0.031995,0.091190,0.331145,272.033508,273.128052,10.000000,24.961681,-6.770416,-32.324173
461772065.504913,0.066833,-0.210342,-1.046051,-0.016037,0.240904,-1.436366,0.076304,-0.000982,-0.012523,0.033675,0.178912,0.266106,271.717163,272.811707,10.000000,25.305782,-6.907555,-32.257889
461772065.539149,0.074707,-0.192734,-1.122925,-0.006524,0.235467,-1.429873,0.080669,0.042609,-0.104626,-0.168553,0.207867,0.231323,271.241608,272.336151,10.000000,25.374607,-6.976120,-32.125320
461772065.572373,0.079834,-0.246979,-1.106384,-0.000462,0.230999,-1.421246,0.070320,-0.025001,-0.199490,-0.046348,0.262736,0.267091,270.513062,271.607605,10.000000,25.546658,-7.490402,-32.025894
461772065.605624,0.101120,-0.240265,-1.118637,0.002275,0.231249,-1.413957,0.081358,-0.010996,-0.119395,-0.058583,0.037718,0.177738,270.397095,271.491638,10.000000,24.996090,-7.421837,-31.694468
461772065.639007,-0.006378,0.017624,-1.387604,0.001675,0.217656,-1.411531,0.068616,0.041000,-0.208547,-0.725047,-0.008148,-0.008683,270.373199,271.467743,10.000000,24.548752,-7.181839,-31.860180
461772065.672379,-0.004700,0.079178,-1.372604,-0.002538,0.191725,-1.413595,-0.003887,0.208177,-0.405930,-0.674717,-0.265133,-0.056979,271.742096,272.836639,10.000000,24.273464,-6.153290,-32.191605
